No,Isi Berita,Jenis Berita
1,"Kebakaran hebat melanda satu di antara landmark terkenal di Paris, Gereja Katedral Notre Dame pada Senin (15/4/2019) malam waktu setempat. Akibat kebakaran ini, bagian atap dan puncak menara Gereja Katedral Notre Dame hancur. Usai kebakaran berhasil dipadamkan setelah sekitar 9 jam, upaya restorasi alias pemulihan kembali Gereja Katedral Notre Dame pun akan dilaksanakan. Namun, kemungkinan jika Gereja Notre Dame ini dibangun kembali, penampakannya tak akan sama. Dikutip TribunPalu.com dari laman This is Insider, hal tersebut dikarenakan Prancis tak lagi punya pohon yang cukup tinggi untuk dibuat sebagai atap Gereja Notre Dame persis seperti dulu. Hal ini diungkapkan oleh wakil presiden kelompok pelestari Fondation du Patrimoine, Bertrand de Feydeau kepada France Info, Selasa (16/4/2019) lalu. ""Kami akan harus menerapkan teknologi baru yang akan meninggalkan penampakan Gereja Katedral Notre Dame yang kita sayangi,"" kata Bertrand. Gereja Katedral Notre Dame memiliki dimensi 130 kali 48 meter dengan atap setinggi 35 meter. Sementara fasad yang bisa dilihat pengunjung dari bagian nave (bagian tengah gereja) terbuat dari batu, dengan balok di atasnya yang terbuat dari batu. Kebakaran pada Senin (15/4/2019) lalu bermula di bagian loteng dan menghancurkan sebagian besar atap Gereja Notre Dame.",Luar Negeri
2,"Lima belas tewas, termasuk di antaranya enam anak-anak, ketika tiga pria meledakkan diri saat pasukan keamanan Sri Lanka menyerbu kelompok ekstrimis Islam pada Jumat (26/4) malam. Beberapa orang tewas karena tembakan yang dilesakkan oleh polisi Sri Lanka. Ledakan bom bunuh diri di suatu rumah persinggahan di dekat kota Kalmunai menewaskan tiga perempuan dan enam anak-anak, demikian keterangan polisi. Selama satu jam, polisi yang didukung oleh pasukan keamanan saling balas tembakan dengan kelompok militan di dalam rumah. Tubuh korban tewas baru bisa dievakuasi pada Sabtu pagi. Satu penduduk sipil tewas dalam baku tembak tersebut, sementara di pihak pasukan keamanan tidak ada korban jiwa. Polisi menunjukkan seragam dan bendera. Mereka juga menyita 150 batang dinamit dan 100 ribu bantalan dari rumah persembunyian. Sri Lanka melakukan penyerbuan itu setelah mendapatkan bocoran bahwa para pelaku bom Paskah bersembunyi di suatu area di Kalmunai, 370 kilometer dari ibu kota Sri Lanka, Kolombo. Sebelumnya, polisi juga mengatakan bahwa mereka menemukan bendera ISIS dan seragam yang mirip dengan yang digunakan oleh delapan militan dalam video yang tersebar sebelum serangan. Sri Lanka telah meningkatkan operasi pencarian untuk ekstrimis Islam yang bertanggung jawab atas pemboman pada Minggu (21/4) lalu. Kepolisian Sri Lanka tengah memburu 140 orang yang diyakini memiliki hubungan dengan kelompok militan ISIS dan terkait dengan serangan bom beruntun di Hari Paskah. Salah satu dalang di balik rangkaian serangan bom bunuh diri tersebut, Zahran Hashim, dilaporkan tewas saat meledakkan bom di Hotel Shangri-La.",Luar Negeri
3,"Kebakaran melanda Katedral Notre-Dame di Paris. Kejadian ini mengguncang masyarakat dunia karena katedral tersebut bukan sekedar tempat ibadah, tetapi juga sebagai karya seni arsitektur sekaligus saksi bisu atas sejumlah peperangan dahsyat yang pernah terjadi. Diberitakan AFP, kebakaran tersebut meruntuhkan menara Katedral Notre-Dame pada pada Senin (15/4) sore waktu setempat. Sejumlah petinggi dunia pun sontak menyampaikan bela sungkawa atas kebakaran yang melanda bangunan yang telah berusia lebih dari 800 tahun tersebut. Termasuk dari Vatikan. ""Kami menyatakan simpati kami dengan umat Katolik Prancis dan masyarakat Paris dan kami melantunkan doa-doa kami untuk para pemadam kebakaran dan semua orang yang melakukan segala upaya untuk berurusan dengan situasi dramatis ini,"" kata kata Alessandro Gisotti, juru bicara Vatikan dalam pernyataannya. Adapun informasi kronologi kebakaran yang berhasil dihimpun adalah sebagai berikut: 1. Pukul 18:50 waktu setempat api mulai terlihat dari atap katedral Notre-Dame. Pemadam kebakaran juga mulai mendapat informasi awal mengenai kejadian. 2. Pukul 19:40 api menyebar ke puncak menara katedral Notre-Dame. Pada saat yang sama, Presiden Prancis Emmanuel Macron membatalkan sebuah acara televisi dan bergerak untuk meninjau langsung proses pemadaman. 3. Pukul19:53, puncak menara Gereja Katedral runtuh. 4. Pukul 20:07, seluruh atap Notre-Dame runtuh, menurut koresponden Reuters di lokasi kejadian. 5. Pukul 20.27 waktu setempat sejumlah warga dievakuasi ke Ile de la Cité Paris, pulau di sisi lain Notre-Dame. Polisi juga membantu proses evakuasi.",Luar Negeri
4,"Raksasa e-commerce Amazon berencana menutup toko online-nya di China. Ini sejalan dengan upaya Amazon mengecilkan operasionalnya di Negeri Tirai Bambu tersebut. Toko online Amazon memungkinkan konsumen membeli produk-produk dari penjual lokal. Pihak Amazon menyatakan, toko online-nya di China akan berhenti beroperasi mulai Juli 2019 mendatang. Dikutip dari BBC, Kamis (18/4/2019), meski tak beroperasi lagi, namun konsumen China masih bisa membeli barang dari toko online global Amazon. Pihak Amazon pun menyatakan tetap mengoperasikan bisnis cloud alias awannya di China. Rencana tersebut diumumkan sejalan dengan kondisi persaingan ketat yang dialami Amazon dengan pesaing-pesaing lokalnya di China, seperti Alibaba dan JD.com. Diwartakan Reuters, penutupan toko online Amazon di China dimaksudkan agar perusahaan itu lebih fokus pada bisnis penjualan produk asing secara online dan layanan awan. Divibisnis komputasi awan Amazon pun selama ini menguntungkan. Juru bicara Amazon dalam pernyataannya mengatakan bahwa pihaknya bekerja sama dengan para penjual untuk memastikan transisi yang mulus dan melanjutkan pemberian pengalaman yang terbaik bagi konsumen. Sementara itu, Bloomberg mengabarkan bahwa konsumen yang mengakses laman Amazon.cn setelah tanggal 18 Juli 2019 akan melihat pilihan produk dari toko online global Amazon. Pada tahun 2004 silam, Amazon mengakuisisi Joyo.com, toko online China yang menjual buku, musik, dan video dengan nilai transaksi 75 juta dollar AS. Kemudian, tahun 2007, Amazon mengubah nama Joyo.com menjadi Amazon.cn.",Keuangan
5,"Menteri Perhubungan (Menhub) Budi Karya Sumadi menilai maskapai Garuda Indonesia tak tulus dalam menyediakan tiket pesawat dengan harga yang terjangkau bagi masyarakat. Sebab, potongan harga yang diberikan maskapai pelat merah itu hanya dalam rangka memeriahkan ulang tahun Kementerian BUMN. ""Makanya saya bilang kalian (Garuda Indonesia) itu tidak tulus, enggak jujur (dalam menurunkan harga tiket pesawat). Kita kan ngomong sama masyarakat mesti jujur,"" ujar Budi di Jakarta, Rabu (17/4/2019). Budi menambahkan, seharusnya Garuda Indonesia dalam menentukan harga tiket pesawat dilakukan secara transparan. Hal ini perlu dilakukan agar masyarakat tak salah memahami. ""Ya kan harus terbuka dan orang kan multitafsir kalau kayak gitu kan, kan masyarakat ini kan banyak,"" kata Budi. Budi mengaku telah bertemu dengan Ditektur Utama Garuda Indonesia Ari Askhara untuk membahas soal harga tiket pesawat. Dalam pertemuan itu, Budi meminta Garuda Indonesia mencantumkan secara detil mengenai tiket pesawat dengan harga normal dan yang mendapat potongan harga. ""Saya beri kesempatan Garuda sebagai public company menetapkan sendiri (tarifnya). Toh itu ada di UU kan aturan itu. Kalau 2 minggu lagi tidak bisa ya saya yang tetapin,"" kata dia. Sebelumnya, Maskapai Garuda Indonesia akan memberikan diskon harga tiket penerbangan hingga 50 persen untuk seluruh rute penerbangan domestik. Diskon ini diberikan dalam rangka menyambut HUT Kementerian BUMN ke-21. Promo potongan harga tiket penerbangan tersebut dikemas dalam acara “Garuda Indonesia Online Travel Festival” dan berlaku mulai 31 Maret hingga 13 Mei 2019 untuk channel penjualan Online Travel Agent (OTA), aplikasi mobile apps, Linkaja hingga website (www.garuda-indonesia.com).",Keuangan
6,"Pasukan keamanan Sri Lanka menemukan 15 mayat, termasuk enam anak-anak, pada Sabtu (27/4/2019) pagi. Belasan mayat itu ditemukan setelah teroris yang terkait dengan serangan bom Paskah melepaskan tembakan dan meledekkan bahan peledak saat penggerebekan sebuah rumah di timur negara itu. Baku tembak terjadi pada Jumat malam setelah polisi memberi tahu tentara sebuah rumah persembunyian di dekat kota Sammanthurai. Pihak berwenang mengatakan teroris meledakkan tiga ledakan dan melepaskan tembakan. ""Setidaknya tiga orang lainnya cedera dalam penggerebekan itu,"" kata juru bicara kepolisian Sri Lanka Ruwan Gunasekara, seperti disitir dari AP. Ia mengatakan bahwa beberapa orang yang tewas kemungkinan adalah teroris yang meledakkan diri dalam aksi bom bunuh diri. Sebelumnya, militer mengatakan setidaknya satu warga sipil tewas dalam serangan itu. Mayor Jenderal Aruna Jayasekara, komandan militer setempat, mengatakan tentara dan polisi menunggu sampai Sabtu siang untuk melakukan penggerebekan lebih lanjut di Provinsi Timur mengingat rumah-rumah dibangun begitu berdekatan. Sementara itu, militer mengatakan pasukan keamanan telah menemukan bahan peledak, detonator, peralatan bunuh diri, seragam militer dan bendera kelompok Negara Islam (ISIS) dalam serangan yang sedang berlangsung. Di daerah yang sama, juru bicara kepolisian Ruwan Gunasekara mengatakan, petugas yang bertindak berdasarkan informasi dari pejabat intelijen menemukan 150 batang peledak gelatin dan 100.000 bola logam kecil, serta sebuah van dan pakaian yang diduga digunakan oleh mereka yang terlibat dalam serangan Paskah. Rompi bom bunuh diri sering dikemas dengan bola seperti itu untuk meningkatkan pecahan peluru dalam ledakan, membuatnya lebih mematikan. Para pejabat dari polisi hingga perdana menteri mengatakan teroris tetap berkeliaran dan memiliki akses ke bahan peledak. Kondisi itu menyebabkan peningkatan keamanan di tempat-tempat suci, gereja, kuil, dan masjid di seluruh negara multietnis itu.",Luar Negeri
7,"Hakim federal Amerika Serikat (AS) menjatuhkan hukuman 18 bulan penjara kepada Maria Butina, agen Rusia yang dituduh menyusup dan ikut memengaruhi kebijakan AS terhadap Moskow. Butina sendiri telah mengaku bersalah atas tudunhan konspirasi di pengadilan federal. Butina adalah warga negara Rusia pertama yang dihukum karena kejahatan yang berkaitan dengan Pemilu AS 2016. Ia dihukum meski menurut laporan Jaksa Robert Mueller menyebut upaya Butina menyusup ke lingkaran Partai Republik terpisah dari kampanye Pemilu Kremlin. Wanita berusia 30 tahun yang konsen pada hak-hak senjata ini telah dipenjara sejak penangkapannya pada Juli dan akan menerima kredit sembilan bulan masa hukuman yang telah dijalaninya. Dia kemudian akan dideportasi ke Rusia setelah menjalani hukumannya. ""Ibu bukan kesalahpahaman sederhana oleh seorang pelajar asing yang terlalu bersemangat,"" tegas Hakim Tanya Chutkan, dikutip dari CNN, Sabtu (27/4) Chutkan mengatakan bahwa Butina, yang belajar di America University, Washington terlibat dalam pekerjaan atas nama pejabat Rusia yang dinilai ""canggih"" dan ""berbahaya"". ""Tindakan itu canggih dan menembus jauh ke dalam organisasi politik,"" kata Chutkan, berpihak pada rekomendasi hukuman pemerintah dan mencatat bahwa tindakan Butina terjadi ketika Rusia secara aktif berusaha ikut campur dalam proses demokrasi AS. Butina berbicara selama lima menit di persidangan hari Jumat (27/4) waktu setempat. Suaranya terkadang pecah, saat dia menyatakan penyesalan atas kejahatannya dan meminta pengampunan. ""Aku sangat menyesali kejahatan ini.Saya datang ke AS bukan di bawah perintah tetapi dengan harapan membangun jembatan antara tanah air saya dan negara yang saya cintai,"" ungkap dia.  Mahasiswa tersebut mengaku bersalah pada Desember atas tuduhan konspirasi untuk bertindak sebagai agen pejabat asing. Dia mengaku menggunakan kontaknya di lingkaran politik GOP, di National Rifle Association dan di National Prayer Breakfast untuk mempengaruhi hubungan AS dengan Rusia. Sebagai bagian dari kesepakatan pembelaannya, Butina telah bekerja sama secara luas dengan pemerintah. Sebuah sumber yang mengetahui situasi ini mengatakan dia memberikan informasi tentang pacarnya, operasi politik GOP Paul Erickson, yang diduga terlibat dalam rencananya. Sejauh ini, Erickson belum menghadapi dakwaan di Washington DC. Erickson didakwa pada Februari atas tuduhan penipuan kawat dan pencucian uang dalam kasus terpisah di South Dakota. Dia mengaku tidak bersalah atas tuduhan federal.",Luar Negeri
8,"Kepolisian Sri Lanka saling melempar tembakan dengan sekelompok pria bersenjata yang diduga terafiliasi dengan Negara Islam (ISIS). Insiden dimulai saat militan bersenjata berada di sebuah rumah di Kota Kalmunai, berjarak 370 kilometer dari ibukota. Bentrokan terjadi beberapa jam setelah tentara dan polisi menggerebek lokasi. ""Kami menemukan empat mayat yang diduga sebagai pelaku bom bunuh diri,"" ujar juru bicara militer Sumith Atapattu, melansir AFP. Dalam insiden itu, sejumlah pria terduga berafiliasi ISIS juga dilaporkan meledakkan diri dan menewaskan beberapa warga sipil di antaranya. Operasi gabungan antara polisi dan militer dilakukan setelah adanya informasi bahwa kelompok militan pelaku serangan beruntun bom Paskah pada akhir pekan lalu bersembunyi di salah satu bangunan di kawasan Kalmunai. Polisi menunjukkan seragam dan bendera. Mereka juga menyita 150 batang dinamit dan 100 ribu bantalan dari rumah persembunyian. Sebelumnya, polisi juga mengatakan bahwa mereka menemukan bendera ISIS dan seragam yang mirip dengan yang digunakan oleh delapan militan dalam video yang tersebar sebelum serangan. Sri Lanka telah meningkatkan operasi pencarian untuk ekstrimis Islam yang bertanggung jawab atas pemboman pada Minggu (21/4) lalu. Kepolisian Sri Lanka tengah memburu 140 orang yang diyakini memiliki hubungan dengan kelompok militan ISIS dan terkait dengan serangan bom beruntun di Hari Paskah. Salah satu dalang di balik rangkaian serangan bom bunuh diri tersebut, Zahran Hashim, dilaporkan tewas saat meledakkan bom di Hotel Shangri-La.",Luar Negeri
9,"Pemimpin Korea Utara (Korut) Kim Jong-un memang terkenal paranoid jika sedang bepergian keluar negeri. Ingat saja saat Kim berkunjung Panmunjom, Korea Selatan (Korsel) dirinya harus menenteng toilet pribadi agar feses beserta urinnya tak dicuri oleh asing. Pada kunjungan ke Rusia pada 24 April 2019, lagi-lagi Kim datang beserta rasa paranoidnya. Mengutip AFP via Kompas.com, Jumat (26/4/2019) kunjungan ke Rusia ini tepatnya di Vladivostok merupakan pertama kalinya bagi Kim. Kim tiba di stasiun kota perbatasan Khasan, Rusia, setelah menempuh perjalanan darat dari Pyongyang sejauh 684 km menggunakan kereta api lapis baja khusus milik Angkatan Bersenjata Korut. Namun saat tiba di stasiun Khasan ada momen tak biasa yang dilakukan oleh para pengawal Kim. Saat kereta bergerak lambat memasuki stasiun, sejumlah pengawal Kim langsung loncat turun. Mereka membawa karpet merah, peralatan keamanan dan yang paling menonjol membawa lap.",Luar Negeri
10,"Sebuah alat berat crane yang dipakai dalam proyek pembangunan gedung Google di Seattle, Amerika Serikat, jatuh ke arah jalanan yang ramai. Insiden itu menyebabkan empat orang meninggal. Seperti dilansir Associated Press, Minggu (28/4), peristiwa itu terjadi pada Sabtu (27/4) kemarin. Menurut Kepala Dinas Pemadam Kebakaran Seattle, Harold Scoggins, tiga lelaki dan seorang perempuan meninggal dalam kejadian itu. Mereka yang meninggal adalah dua operator crane dan satu pengemudi mobil serta seorang penumpang. Tiga orang yakni seorang ibu berusia 25 tahun dan bayinya yang berumur 4 bulan, serta lelaki berusia 28 tahun mengalami luka-luka. Diduga crane itu jatuh ketika sedang terjadi hujan deras dan angin kencang. Kota itu sebenarnya jarang terjadi kecelakaan alat berat. Insiden ini mendesak pemerintah setempat kembali mengevaluasi ramainya proyek pembangunan gedung pencakar langit yang marak di Seattle. Saat ini tercatat ada 60 crane yang beroperasi di kota itu. Sebab, sejumlah perusahaan berbasis teknologi informasi seperti Amazon, Google dan lainnya melirik kota itu sebagai salah satu lokasi kantor mereka.",Luar Negeri
